1
v,bear,bore,borne
tf,beə,bɔː,bɔːn
2
v,beat,beat,beaten
tf,biːt,biːt,ˈbiːtn
3
v,bite,bit,bitten
tf,baɪt,bɪt,ˈbɪtn
4
v,blow,blew,blown
tf,bləʊ,bluː,bləʊn
5
v,broadcast,broadcast,broadcast
tf,ˈbrɔːdkɑːst,ˈbrɔːdkɑːst,ˈbrɔːdkɑːst
6
v,bring,brought,brought
tf,brɪŋ,brɔːt,brɔːt
7
v,draw,drew,drawn
tf,drɔː,druː,drɔːn
8
v,dream,dreamt,dreamt
tf,driːm,drɛmt,drɛmt
9
v,drink,drank,drunk
tf,drɪŋk,dræŋk,drʌŋk
10
v,dig,dug,dug
tf,dɪg,dʌg,dʌg
11
v,fall,fell,fallen
tf,fɔːl,fɛl,ˈfɔːlən
12
v,feed,fed,fed
tf,fiːd,fɛd,fɛd
13
v,freeze,froze,frozen
tf,friːz,frəʊz,ˈfrəʊzn
14
v,fit,fit,fit
tf,fɪt,fɪt,fɪt
15
v,hang,hung/hanged,hung/hanged
tf,hæŋ,hʌŋ/hæŋd,hʌŋ/hæŋd
16
v,hide,hid,hidden/hid
tf,haɪd,hɪd,ˈhɪdn/hɪd
17
v,hit,hit,hit
tf,hɪt,hɪt,hɪt
18
v,hold,held,held
tf,həʊld,hɛld,hɛld
19
v,hurt,hurt,hurt
tf,hɜːt,hɜːt,hɜːt
20
v,input,input,input
tf,ˈɪnpʊt,ˈɪnpʊt,ˈɪnpʊt
21
v,lead,led,led
tf,liːd,lɛd,lɛd
22
v,learn,learned/learnt,learned/learnt
tf,lɜːn,lɜːnt/lɜːnt,lɜːnt/lɜːnt
23
v,lend,lent,lent
tf,lɛnd,lɛnt,lɛnt
24
v,lie,lay,lain
tf,laɪ,leɪ,leɪn
25
v,lose,lost,lost
tf,luːz,lɒst,lɒst
26
v,mislay,mislaid,mislaid
tf,mɪsˈleɪ,mɪsˈleɪd,mɪsˈleɪd
27
v,mistake,mistook,mistaken
tf,mɪsˈteɪk,mɪsˈtʊk,mɪsˈteɪkən
28
v,offset,offset,offset
tf,ˈɒfsɛt,ˈɒfsɛt,ˈɒfsɛt
29
v,overcome,overcame,overcome
tf,ˌəʊvəˈkʌm,ˌəʊvəˈkeɪm,ˌəʊvəˈkʌm
30
v,overdo,overdid,overdone
tf,ˌəʊvəˈduː,ˌəʊvəˈdɪd,ˌəʊvəˈdʌn
31
v,overpay,overpaid,overpaid
tf,ˌəʊvəˈpeɪ,ˌəʊvəˈpeɪd,ˌəʊvəˈpeɪd
32
v,oversee,oversaw,overseen
tf,ˌəʊvəˈsiː,ˌəʊvəˈsɔː,ˌəʊvəˈsiːn
33
v,oversleep,overslept,overslept
tf,ˌəʊvəˈsliːp,ˌəʊvəˈslɛpt,ˌəʊvəˈslɛpt
34
v,preset,preset,preset
tf,prɪˈsɛt,prɪˈsɛt,prɪˈsɛt
35
v,prove,proved,proven
tf,pruːv,pruːvd,ˈpruːvən
36
v,ride,rode,ridden
tf,raɪd,rəʊd,ˈrɪdn
37
v,ring,rang,rung
tf,rɪŋ,ræŋ,rʌŋ
38
v,rise,rose,risen
tf,raɪz,rəʊz,ˈrɪzn
39
v,rebuild,rebuilt,rebuilt
tf,ˌriːˈbɪld,ˌriːˈbɪlt,ˌriːˈbɪlt
40
v,repay,repaid,repaid
tf,rɪˈpeɪ,riːˈpeɪd,riːˈpeɪd
41
v,set,set,set
tf,sɛt,sɛt,sɛt
42
v,shoot,shot,shot
tf,ʃuːt,ʃɒt,ʃɒt
43
v,show,showed,shown/showed
tf,ʃəʊ,ʃəʊd,ʃəʊn/ʃəʊd
44
v,shut,shut,shut
tf,ʃʌt,ʃʌt,ʃʌt
45
v,sing,sang,sung
tf,sɪŋ,sæŋ,sʌŋ
46
v,smell,smelt,smelt
tf,smɛl,smɛlt,smɛlt
47
v,stick,stuck,stuck
tf,stɪk,stʌk,stʌk
48
v,swim,swam,swum
tf,swɪm,swæm,swʌm
49
v,take,took,taken
tf,teɪk,tʊk,ˈteɪkən
50
v,teach,taught,taught
tf,tiːʧ,tɔːt,tɔːt
51
v,wake,woke/waked,woken/waked
tf,weɪk,wəʊk/weɪkt,ˈwəʊkən/weɪkt
52
v,win,won,won
tf,wɪn,wʌn,wʌn
